[2026-01-23 07:34:11 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2026-01-23 08:47:39 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-23 08:47:39 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-23 08:47:40 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-23 08:47:40 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-23 08:50:44 : INFO] - Cache for URL: https://www.depannagepcgard.fr/faq/ has been purged, triggered by action: save_post 
[2026-01-23 08:50:44 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "FAQ" has been purged, triggered by action: save_post 
[2026-01-23 08:50:45 : INFO] - Cache for URL: https://www.depannagepcgard.fr/faq/ has been purged, triggered by action: save_post 
[2026-01-23 08:50:45 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "FAQ" has been purged, triggered by action: save_post 
[2026-01-23 08:51:14 : INFO] - Cache for URL: https://www.depannagepcgard.fr/faq/ has been purged, triggered by action: save_post 
[2026-01-23 08:51:14 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "FAQ" has been purged, triggered by action: save_post 
[2026-01-23 08:51:15 : INFO] - Cache for URL: https://www.depannagepcgard.fr/faq/ has been purged, triggered by action: save_post 
[2026-01-23 08:51:15 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "FAQ" has been purged, triggered by action: save_post 
[2026-01-23 08:52:08 : INFO] - Cache for URL: https://www.depannagepcgard.fr/faq/ has been purged, triggered by action: save_post 
[2026-01-23 08:52:08 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "FAQ" has been purged, triggered by action: save_post 
[2026-01-23 08:52:09 : INFO] - Cache for URL: https://www.depannagepcgard.fr/faq/ has been purged, triggered by action: save_post 
[2026-01-23 08:52:09 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "FAQ" has been purged, triggered by action: save_post 
[2026-01-23 08:52:41 : INFO] - Cache for URL: https://www.depannagepcgard.fr/montage-pc/ has been purged, triggered by action: save_post 
[2026-01-23 08:52:41 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Montage PC Réalisé" has been purged, triggered by action: save_post 
[2026-01-23 08:52:42 : INFO] - Cache for URL: https://www.depannagepcgard.fr/montage-pc/ has been purged, triggered by action: save_post 
[2026-01-23 08:52:42 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Montage PC Réalisé" has been purged, triggered by action: save_post 
[2026-01-23 08:52:54 : INFO] - Cache for URL: https://www.depannagepcgard.fr/faq/ has been purged, triggered by action: save_post 
[2026-01-23 08:52:54 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "FAQ" has been purged, triggered by action: save_post 
[2026-01-23 08:52:55 : INFO] - Cache for URL: https://www.depannagepcgard.fr/faq/ has been purged, triggered by action: save_post 
[2026-01-23 08:52:55 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "FAQ" has been purged, triggered by action: save_post 
[2026-01-23 08:53:11 : INFO] - Cache for URL: https://www.depannagepcgard.fr/faq/ has been purged, triggered by action: save_post 
[2026-01-23 08:53:11 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "FAQ" has been purged, triggered by action: save_post 
[2026-01-23 08:53:12 : INFO] - Cache for URL: https://www.depannagepcgard.fr/faq/ has been purged, triggered by action: save_post 
[2026-01-23 08:53:12 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "FAQ" has been purged, triggered by action: save_post 
[2026-01-23 11:13:55 : INFO] - Cache for URL: https://www.depannagepcgard.fr/configurateur-pc/ has been purged, triggered by action: save_post 
[2026-01-23 11:13:55 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "CONFIGURATEUR PC" has been purged, triggered by action: save_post 
[2026-01-23 11:13:56 : INFO] - Cache for URL: https://www.depannagepcgard.fr/configurateur-pc/ has been purged, triggered by action: save_post 
[2026-01-23 11:13:56 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "CONFIGURATEUR PC" has been purged, triggered by action: save_post 
[2026-01-23 11:54:31 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-23 11:54:31 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-23 11:54:31 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-23 11:54:31 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
[2026-01-23 11:59:16 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-23 11:59:16 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-23 11:59:17 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-23 11:59:17 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-23 12:00:25 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-23 12:00:25 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-23 12:00:26 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-23 12:00:26 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-23 12:01:47 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-23 12:01:47 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-23 12:01:48 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-23 12:01:48 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-23 12:08:42 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-23 12:08:42 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-23 12:08:42 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-23 12:08:42 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-23 12:08:47 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-23 12:08:47 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
